grid,weighted,alpha,n,mean_iou
coarse,False,0.0,175,0.323348905605112
coarse,False,0.1,175,0.3541119549234702
coarse,False,0.2,175,0.3859105310746434
coarse,False,0.3,175,0.42436014704228864
coarse,False,0.4,175,0.44149214002557496
coarse,False,0.5,175,0.4538324274602457
coarse,False,0.6,175,0.4623295848423813
coarse,False,0.7,175,0.4646739511852716
coarse,False,0.8,175,0.46300575630887675
coarse,False,0.9,175,0.45990855542103404
coarse,False,1.0,175,0.45177409057870477
coarse,True,0.0,175,0.323348905605112
coarse,True,0.1,175,0.35393747141515786
coarse,True,0.2,175,0.38614164881443036
coarse,True,0.3,175,0.42468191652528536
coarse,True,0.4,175,0.44225719460080515
coarse,True,0.5,175,0.4548389214514831
coarse,True,0.6,175,0.4628186573875723
coarse,True,0.7,175,0.4645538269089649
coarse,True,0.8,175,0.46293782468878353
coarse,True,0.9,175,0.45997564757816095
coarse,True,1.0,175,0.45186717022917144
fine,False,0.5,175,0.4538324274602457
fine,False,0.51,175,0.455455489051832
fine,False,0.52,175,0.45633360792431843
fine,False,0.53,175,0.4573665249642122
fine,False,0.54,175,0.4583556314680285
fine,False,0.55,175,0.4592112181759298
fine,False,0.56,175,0.45999170437111403
fine,False,0.57,175,0.4608245703344809
fine,False,0.58,175,0.46150746130492937
fine,False,0.59,175,0.4620392383548686
fine,False,0.6,175,0.4623295848423813
fine,False,0.61,175,0.46262610484596894
fine,False,0.62,175,0.46284801183460056
fine,False,0.63,175,0.4632964028306852
fine,False,0.64,175,0.4636901917910515
fine,False,0.65,175,0.4640212835338166
fine,False,0.66,175,0.4643488666943085
fine,False,0.67,175,0.46445939709702827
fine,False,0.68,175,0.46445867482067893
fine,False,0.69,175,0.46450020344546317
fine,False,0.7,175,0.4646739511852716
fine,False,0.71,175,0.4648894826531487
fine,False,0.72,175,0.46484664714487955
fine,False,0.73,175,0.4646055737693634
fine,False,0.74,175,0.4643930529792234
fine,False,0.75,175,0.4643356901481045
fine,False,0.76,175,0.4642156082118481
fine,False,0.77,175,0.4640799782274142
fine,False,0.78,175,0.4637872077785015
fine,False,0.79,175,0.46338892581395547
fine,False,0.8,175,0.46300575630887675
fine,True,0.5,175,0.45483889527239985
fine,True,0.51,175,0.45636010653923653
fine,True,0.52,175,0.4573398715081522
fine,True,0.53,175,0.4583638885663827
fine,True,0.54,175,0.4592789683626643
fine,True,0.55,175,0.460104200146612
fine,True,0.56,175,0.46089694862186736
fine,True,0.57,175,0.46171212887661894
fine,True,0.58,175,0.4622565555066688
fine,True,0.59,175,0.4626385161495199
fine,True,0.6,175,0.462818283427481
fine,True,0.61,175,0.46312072448252445
fine,True,0.62,175,0.46326931633340174
fine,True,0.63,175,0.46353285842547326
fine,True,0.64,175,0.4638215261847391
fine,True,0.65,175,0.4640341294407741
fine,True,0.66,175,0.4642567338276943
fine,True,0.67,175,0.4643097239397617
fine,True,0.68,175,0.46429484223388484
fine,True,0.69,175,0.46441141842854045
fine,True,0.7,175,0.4645538269089649
fine,True,0.71,175,0.46471661405823633
fine,True,0.72,175,0.4646030326613158
fine,True,0.73,175,0.46441435673353854
fine,True,0.74,175,0.4643076313827809
fine,True,0.75,175,0.4642687461867611
fine,True,0.76,175,0.4641646092484096
fine,True,0.77,175,0.46406507882391534
fine,True,0.78,175,0.4637588291765688
fine,True,0.79,175,0.4633607878458945
fine,True,0.8,175,0.4629377455851855
